date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:08:08	142077/142077	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:08:04%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/k446063921	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/k446063921.html	(from )
01:08:11	134797/134797	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:08:05%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/w391362696	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/w391362696.html	(from )
01:08:14	139071/139071	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:08:08%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/v722675860	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/v722675860.html	(from )
01:08:15	142994/142994	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:08:12%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/w392063112	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/w392063112.html	(from )
01:08:17	138869/138869	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:08:14%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/l604843005	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/l604843005.html	(from )
01:08:18	141619/141619	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:08:15%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/h478289800	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/h478289800.html	(from )
01:08:20	140831/140831	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2016:08:17%20GMT	https://page.auctions.yahoo.co.jp/jp/auction/n428333173	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/page.auctions.yahoo.co.jp/jp/auction/n428333173.html	(from )
01:08:21	51/51	---M--	200	added ('OK')	text/plain	date:Mon,%2004%20Jun%202018%2011:51:13%20GMT	https://page.auctions.yahoo.co.jp/robots.txt		(from )
01:08:22	54792/54792	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2016:08:21%20GMT	https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/5/6/6/7/kouyend-img480x640-1589213767d4b7h416253.jpg	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/5/6/6/7/kouyend-img480x640-1589213767d4b7h416253.jpg	(from https://page.auctions.yahoo.co.jp/jp/auction/q366307810)
01:08:22	44538/44538	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2016:08:21%20GMT	https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/5/6/6/7/kouyend-img801x1200-1589213767fzytfz16253.jpg	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/5/6/6/7/kouyend-img801x1200-1589213767fzytfz16253.jpg	(from https://page.auctions.yahoo.co.jp/jp/auction/q366307810)
01:08:22	27181/27181	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2016:08:21%20GMT	https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/5/6/6/7/kouyend-img801x1200-1589213767jbcr7316253.jpg	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/5/6/6/7/kouyend-img801x1200-1589213767jbcr7316253.jpg	(from https://page.auctions.yahoo.co.jp/jp/auction/q366307810)
01:08:23	26635/26635	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2016:08:22%20GMT	https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/5/6/6/7/kouyend-img801x1200-1589213767fl7ax416253.jpg	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/5/6/6/7/kouyend-img801x1200-1589213767fl7ax416253.jpg	(from https://page.auctions.yahoo.co.jp/jp/auction/q366307810)
